sigle,nom,moyenne,score,participants,trimestres
IFT3545,Graphes et réseaux,C-,2.11,52,3
IFT3710,Projets en aprentissage automatique,D+,1.48,21,3
IFT3911,Analyse et conception des logiciels,B-,3.11,193,3
JES1001,Jeunes et réalités sociales,B+,3.85,6,5
LNG1955,Notions générales de linguistique,B,3.38,28,6
MAT1000,Analyse 1,C+,2.55,7,6
MAT1720,Probabilités,B,3.62,5,4
PHY1651,Mécanique classique 1,D+,1.55,5,4
REI1030G,Gestion et fonctions de l'organisation,A-,4.48,10,5
ANG1921,Écrire en anglais 1 (niveau B1),B,3.65,13,5
CHN1901,Chinois 1 (niveau A1.1),A+,5,8,4
ECN2230,Institutions et marchés financiers,D+,1.52,12,4
HOR1200,Horizon: Risques et défis du XXIe siècle,B+,3.92,10,4
IFT3225,Technologie de l'Internet,B-,3.2,304,5
NUT1970,"Activité physique, nutrition et santé",B,3.42,6,3
PBT1004,Communication créative et médias,A+,4.88,5,2
SPU2000D,Introduction à l'épidémiologie,A+,4.95,5,4
STT2700,Concepts et méthodes en statistique,D,1,11,5
HGL1011,Initiation à l'archéologie grécoromaine,A,4.86,6,3
HST1031,Histoire de l'Antiquité,A,4.76,8,2
IFT3325,Téléinformatique,B-,2.94,74,2
IFT3655,Modèles stochastiques,D+,1.57,30,2
JPN1902,Japonais 2 (niveau A1.2),B-,3.14,8,3
REI1010G,Introduction aux relations industrielles,A,4.86,5,3
REI1610G,Pratiques de gestion innovantes et mobilisatrices,A-,4.15,7,4
TXM1150D,De la prévention à la réadaptation en dépendances,A,4.68,6,4
IFT3275,Sécurité informatique,B,3.37,166,2
ITL1901,Italien 1 (niveau A1),A,4.87,7,4
PHI1130,Philosophie des sciences,B,3.43,6,2
SIA2022,Développement de projet avec l'IA,A,4.69,7,1
SIA2020,Stratégies de communication avec l'IA,A,4.61,6,1
